"Reference","Qty","Value","Описание"
"C1,C3,C5,C8,C11","5","0.1µF","AC0603KRX7R9BB104"
"C2","1","10µF 50v","C3216X7R1H106K160AC"
"C4","1","4.7nF","Unpolarized capacitor"
"C6,C7","2","10µF10v","GRM21BR61A106KE"
"D1,D8","2","BAV70","Dual 100V 215mA high-speed switching diodes, common cathode, SOT-23"
"D2","1","SMAJ30A","400W unidirectional Transient Voltage Suppressor, 24.0Vr, SMA(DO-214AC)"
"D4","1","SM712_SOT23","7V/12V, 600W Asymmetrical TVS Diode Array, SOT-23"
"D5","1","ESDA25W","TVS Diode Array, 5.5V Standoff, 2 Channels, SOT23"
"J1","1","Display","Generic connector, single row, 01x16, script generated"
"J2","1","USB","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J3","1","Input","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
"L2","1","4.7µH","LQH44PN2R2MPOL"
"Q1","1","AO3402","N-MOSFET transistor, gate/source/drain"
"R1","1","1","Resistor"
"R2,R4,R6,R11,R17,R18,R19","7","10k","Resistor"
"R3,R5","2","60","AC0603FR-0760R4L"
"R7","1","120","Resistor"
"R8","1","68k","Resistor"
"R9","1","22k","Resistor"
"R15,R16","2","4.7k","Resistor"
"R20","1","3.9","Resistor"
"SW1","1","reset","Push button switch, generic, two pins"
"SW2","1","boot","Push button switch, generic, two pins"
"U1","1","SN65HVD230","CAN Bus Transceivers, 3.3V, 1Mbps, Low-Power capabilities, SOIC-8"
"U2","1","THVD1406D","Half duplex RS-485/RS-422, 500 Kbps, 3V - 5.5V supply, ±12kV electro-static discharge (ESD) protection, with receiver/driver enable, 32 receiver drive capacity, SOIC-8"
"U3","1","LMR50410","1.2 A Simple Buck Regulator, 3-26V input, 1.5Mhz"
"U5","1","ESP32-C3-MINI-1U","ESP32-C3-MINI-1 family is an ultra-low-power MCU-based SoC solution that supports 2.4 GHz Wi-Fi and Bluetooth®Low Energy (Bluetooth LE)."
"U7","1","AP2112K-3.3","600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5"
